titles,ranks,a_count,a_score,actor1,actor2,actor3,box_office,c_count,c_score,genre,mp_rating,runtime,year,month
Fireworks Wednesday (Chaharshanbe-soori),36,"1,040",84,PanteA Bahrami,Hamid Farrokhnezhad,Taraneh Alidoosti,,41,100,"Art House & International,                        Drama",NR,104,2016,Mar
Toni Erdmann,37,"6,014",74,Peter Simonischek,Sandra Hüller,Michael Wittenborn,"1,478,960",190,93,"Art House & International,                        Drama","R (for strong sexual conetnt, graphic nudity, language and brief drug use)",162,2016,Dec
Little Men,38,"7,327",64,Theo Taplitz,Michael Barbieri (II),Paulina García,"702,191",127,96,Drama,"PG (for thematic elements, smoking and some language)",85,2016,Aug
Aquarius,39,"1,669",78,Sonia Braga,Julia Bernat,Humberto Carrão,"285,930",97,97,"Art House & International,                        Drama",NR,142,2016,Oct
Jackie,40,"27,978",60,Natalie Portman,Peter Sarsgaard,Greta Gerwig,"13,958,679",271,88,Drama,R (for brief strong violence and some language),95,2016,Dec
Loving,41,"19,464",76,Joel Edgerton,Ruth Negga,Michael Shannon,"7,696,098",229,90,Drama,PG-13 (for thematic elements),123,2016,Nov
Rogue One: A Star Wars Story,42,"98,511",87,Felicity Jones,Diego Luna,Mads Mikkelsen,"532,171,696",314,85,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy",PG-13 (for extended sequences of sci-fi violence and action),133,2016,Dec
Elle,43,"11,601",72,Isabelle Huppert,Laurent Lafitte,Anne Consigny,"2,339,735",193,91,"Art House & International,                        Drama,                        Mystery & Suspense","R (for violence involving sexual assault, disturbing sexual content, some grisly images, brief graphic nudity, and language)",130,2016,Nov
Cemetery of Splendor,44,"1,045",62,Banlop Lomnoi,Jenjira Pongpas,Jarinpattra Rueangram,"30,310",69,97,Art House & International,NR,122,2016,Mar
Krisha,45,"2,095",78,Krisha Fairchild,Olivia Grace Applegate,Trey Edward Shults,"143,978",69,97,Drama,"R (for language, substance abuse and some sexual content)",83,2016,Mar
Neruda,46,"4,995",69,Gael García Bernal,Luis Gnecco,Alfredo Castro,"938,875",132,94,Drama,R (for sexuality/nudity and some language),107,2016,Dec
Queen of Katwe,47,"9,667",87,David Oyelowo,Lupita Nyong'o,Madina Nalwanga,"8,874,389",152,93,"Drama,                        Kids & Family","PG (for thematic elements, an accident scene and some suggestive material)",124,2016,Sep
The Beatles: Eight Days a Week - The Touring Years,48,"7,876",89,Paul McCartney,Ringo Starr,John Lennon,"2,930,414",89,96,Documentary,NR,,2016,Sep
Aferim!,50,987,74,Teo Corban,Toma Cuzin,Mihai Comanoiu,"104,706",39,98,"Action & Adventure,                        Art House & International,                        Comedy,                        Drama",NR,108,2016,Jan
The Dark Horse,51,"5,980",77,Cliff Curtis,James Rolleston,Andrew Grainger,,60,97,"Art House & International,                        Drama","R (for language throughout, and drug use)",124,2016,Apr
"Lo and Behold, Reveries of the Connected World",52,"5,888",68,Elon Musk,Lawrence Krauss,Kevin Mitnick,"594,452",120,94,Documentary,PG-13 (for brief strong language and some thematic elements),98,2016,Aug
13th,53,"2,822",91,Angela Davis,Corey Booker,Henry Louis Gates Jr.,,76,96,Documentary,NR,100,2016,Oct
Marguerite,55,"1,735",74,André Marcon,Michel Fau,Christa Theret,"330,585",96,95,Drama,"R (for brief graphic nudity and sexual content, and a scene of drug use)",127,2016,Mar
Gimme Danger,56,"2,127",68,Iggy Pop,Ron Asheton,Scott Asheton,"439,748",95,95,Documentary,R (for drug content and language),108,2016,Oct
Dark Horse,57,"3,866",79,Jan Vokes,Brian Vokes,Angela Davies,"940,430",73,96,"Documentary,                        Drama",PG (for some mild thematic elements and language),85,2016,May
The Love Witch,58,"2,067",60,Samantha Robinson (VI),Laura Waddell,Jeffrey Vincent Parise,"226,223",94,95,"Drama,                        Horror,                        Mystery & Suspense",NR,120,2016,Nov
Rams (Hrútar),59,"1,970",83,Sigurður Sigurjónsson,Theódór Júlíusson,Charlotte Boving,"220,014",94,95,Drama,R (for language and brief graphic nudity),90,2016,Feb
Sully,60,"47,862",84,Tom Hanks,Aaron Eckhart,Valerie Mahaffey,"125,065,700",264,86,"Action & Adventure,                        Drama",PG-13 (for some peril and brief strong language),96,2016,Sep
Green Room,61,"20,945",75,Anton Yelchin,Imogen Poots,Patrick Stewart,"3,219,029",191,90,Horror,"R (for strong brutal graphic violence, gory images, language and some drug content)",94,2016,Apr
Certain Women,63,"5,246",51,Laura Dern,Kristen Stewart,Michelle Williams,"1,037,787",147,92,Drama,R (for some language),107,2016,Oct
Train to Busan (Busanhaeng),64,"10,931",88,Yoo Gong,Yumi Jung,Ma Dong-seok,"2,129,768",82,95,"Action & Adventure,                        Art House & International,                        Horror,                        Mystery & Suspense",NR,118,2016,Jul
"Hail, Caesar!",65,"40,265",44,Josh Brolin,George Clooney,Tilda Swinton,"27,927,631",274,85,Comedy,PG-13 (for some suggestive content and smoking),106,2016,Feb
The Innocents (Les innocentes),66,"3,015",87,Lou de Laâge,Agata Buzek,Agata Kulesza,"1,063,893",98,94,Drama,"PG-13 (for disturbing thematic material including sexual assault, and for some bloody images and brief suggestive content.)",115,2016,Jul
Southside With You,67,"9,438",72,Tika Sumpter,Parker Sawyers,Vanessa Bell Calloway,"6,303,853",135,92,"Drama,                        Romance","PG-13 (for brief strong language, smoking, a violent image and a drug reference)",84,2016,Aug
April and the Extraordinary World (Avril et le monde truqué),68,"3,284",76,Marion Cotillard,Philippe Katerine,Jean Rochefort,"294,311",50,96,"Action & Adventure,                        Animation,                        Comedy","PG (for action/peril including gunplay, some thematic elements and rude humor)",105,2016,Mar
Long Way North (Tout en haut du monde),70,"1,211",78,Christa Theret,Feodor Atkine,Thomas Sagols,,49,96,"Action & Adventure,                        Animation,                        Art House & International",PG (for some peril and mild language),81,2016,Sep
Nuts!,71,254,79,Gene Tognacci,Andy Boswell,John Causby,,45,96,Documentary,NR,79,2016,Jun
The Eagle Huntress,72,"7,889",86,Daisy Ridley,Aisholpan Nurgaiv,Rhys Nurgaiv,"3,168,664",104,93,Documentary,G,87,2016,Feb
The Lobster,73,"33,171",64,Colin Farrell,Rachel Weisz,Léa Seydoux,"9,078,073",198,88,"Comedy,                        Cult Movies,                        Drama,                        Science Fiction & Fantasy","R (for sexual content including dialogue, and some violence)",118,2016,May
Our Little Sister (Umimachi Diary),76,"2,987",83,Haruka Ayase,Kaho,Masami Nagasawa,"466,986",98,93,Drama,PG (for thematic elements and brief language),128,2016,Jul
The Little Prince,77,"13,851",84,Rachel McAdams,Mackenzie Foy,Paul Rudd,,86,93,"Animation,                        Science Fiction & Fantasy",PG (for mild thematic elements),106,2016,Aug
Hacksaw Ridge,79,"54,234",91,Andrew Garfield,Teresa Palmer,Hugo Weaving,"67,115,062",210,86,"Action & Adventure,                        Drama",R (for intense prolonged realistically graphic sequences of war violence including grisly bloody images),139,2016,Nov
A Bigger Splash,80,"8,251",57,Ralph Fiennes,Dakota Johnson,Matthias Schoenaerts,,151,89,"Art House & International,                        Drama,                        Mystery & Suspense,                        Special Interest","R (for graphic nudity, some strong sexual content, language and brief drug use)",124,2016,May
Pete's Dragon,81,"36,870",72,Bryce Dallas Howard,Robert Redford,Oakes Fegley,"76,228,119",187,87,Kids & Family,"PG (for action, peril and brief language)",90,2016,Aug
Deadpool,82,"184,616",90,Ryan Reynolds,Morena Baccarin,Ed Skrein,"328,674,489",252,83,"Action & Adventure,                        Comedy,                        Science Fiction & Fantasy","R (for strong violence and language throughout, sexual content and graphic nudity)",103,2016,Feb
Lion,83,"38,936",91,Dev Patel,Rooney Mara,Nicole Kidman,"51,694,854",198,86,Drama,PG-13 (for thematic material and some sensuality),120,2016,Nov
Florence Foster Jenkins,84,"16,619",68,Meryl Streep,Hugh Grant,Simon Helberg,"27,370,107",177,87,"Comedy,                        Drama,                        Musical & Performing Arts",PG-13 (for brief suggestive material),110,2016,Aug
A Man Called Ove (En man som heter Ove),85,"9,573",87,Rolf Lassgård,Bahar Pars,Johan Widerberg,"3,358,518",96,91,"Art House & International,                        Comedy,                        Drama","PG-13 (for thematic content, some disturbing images, and language)",116,2016,Sep
Don't Breathe,86,"39,517",79,Jane Levy,Dylan Minnette,Daniel Zovatto,"89,210,468",174,87,"Horror,                        Mystery & Suspense","R (for terror, violence, disturbing content, and language including sexual references)",88,2016,Aug
Star Trek Beyond,87,"73,636",80,Chris Pine,Zachary Quinto,Anton Yelchin,"158,804,470",227,84,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy",PG-13 (for sequences of sci-fi action and violence),120,2016,Jul
Mountains May Depart (Shan he gu ren),88,640,67,Tao Zhao,Yi Zhang,Jing Dong Liang,"80,408",66,92,"Art House & International,                        Drama",NR,131,2016,Feb
Everybody Wants Some!!,89,"15,362",68,Blake Jenner,Tyler Hoechlin,Wyatt Russell,,183,86,Comedy,"R (for language throughout, sexual content, drug use and some nudity)",117,2016,Apr
The Last Man On The Moon,90,"3,778",78,Eugene Cernan,Gene Cernan,Alan Bean,"30,880",41,93,Documentary,NR,99,2016,Feb
A War (Krigen),91,"1,877",79,Pilou Asbæk,Søren Malling,Dar Salim,"1,346",80,91,Drama,R (for language and some war related images),115,2016,Feb
"Right Now, Wrong Then",92,282,62,Jae-yeong Jeong,Min-hee Kim,Ko Ah-sung,,37,93,Drama,NR,121,2016,Jun
Miss Hokusai (Sarusuberi: Miss Hokusai),93,908,72,Anne Watanabe,Yutaka Matsushige,Shion Shimizu,"216,202",48,92,"Animation,                        Art House & International,                        Drama,                        Special Interest",PG-13 (for mature thematic material including sexual situations and images),93,2016,Oct
I Am Not a Serial Killer,94,"4,110",61,Max Records,Christopher Lloyd,Laura Fraser,,44,92,"Drama,                        Mystery & Suspense",NR,104,2016,Aug
Barbershop: The Next Cut,95,"19,712",67,Ice Cube,Cedric the Entertainer,Regina Hall,"54,014,580",85,90,Comedy,PG-13 (for sexual material and language),112,2016,Apr
Zero Days,96,"3,176",74,Gary D. Brown,Richard A. Clarke,Eric Chien,"70,661",62,91,Documentary,PG-13 (for some strong language),116,2016,Jul
The Boy And The Beast (Bakemono No Ko),98,"2,803",88,Luci Christian,Eric Vale,John Swasey,,59,91,"Action & Adventure,                        Animation,                        Art House & International",PG-13 (for some violence and language.),119,2016,Mar
The Witness,100,"1,989",77,William Genovese,Charles Skoller,Michael Farrar,"158,978",52,91,Documentary,NR,90,2016,Jun
Mad Max: Fury Road,1,"125,002",85,Tom Hardy,Charlize Theron,Nicholas Hoult,"129,483,877",363,97,"Action & Adventure,                        Science Fiction & Fantasy","R (for intense sequences of violence throughout, and for disturbing images)",120,2015,May
Inside Out,2,"134,285",89,Mindy Kaling,Amy Poehler,Phyllis Smith,"264,317,903",323,98,"Animation,                        Kids & Family",PG (for mild thematic elements and some action),94,2015,Jun
Spotlight,3,"68,822",93,Mark Ruffalo,Michael Keaton,Rachel McAdams,,312,97,"Drama,                        Mystery & Suspense",R (for some language including sexual references),129,2015,Nov
Selma,4,"60,755",86,David Oyelowo,Carmen Ejogo,Tom Wilkinson,,238,99,Drama,"PG-13 (for disturbing thematic material including violence, a suggestive moment, and brief strong language)",127,2015,Jan
Star Wars: Episode VII - The Force Awakens,5,"226,264",88,Daisy Ridley,John Boyega,Adam Driver,"936,658,640",351,93,"Action & Adventure,                        Science Fiction & Fantasy",PG-13 (for sci-fi action violence),136,2015,Dec
Brooklyn,6,"46,068",87,Saoirse Ronan,Domhnall Gleeson,Emory Cohen,"30,459,009",243,97,Drama,PG-13 (for a scene of sexuality and brief strong language),111,2015,Nov
It Follows,7,"43,560",66,Maika Monroe,Keir Gilchrist,Daniel Zovatto,"10,705,259",226,97,Horror,"R (for disturbing violent and sexual content including graphic nudity, and language)",94,2015,Apr
Carol,8,"28,712",73,Cate Blanchett,Kyle Chandler,Rooney Mara,"8,518,148",260,95,"Drama,                        Romance",R (for a scene of sexuality/nudity and brief language),118,2015,Nov
Creed,9,"74,754",89,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,"81,157,671",257,95,Drama,"PG-13 (for violence, language and some sensuality)",132,2015,Nov
Shaun the Sheep Movie,10,"22,358",80,Justin Fletcher,John Sparkes,Omid Djalili,,159,99,"Animation,                        Comedy",PG (for rude humor),84,2015,Aug
Room,11,"48,364",93,Brie Larson,Jacob Tremblay,Joan Allen,"14,677,654",264,94,Drama,R (for language),113,2015,Oct
Mission: Impossible Rogue Nation,12,"92,102",87,Tom Cruise,Jeremy Renner,Ving Rhames,"154,979,949",272,93,Action & Adventure,"PG-13 (for sequences of action and violence, and brief partial nudity)",131,2015,Jul
The Martian,13,"130,006",91,Matt Damon,Jessica Chastain,Kristen Wiig,"202,313,768",304,91,Science Fiction & Fantasy,"PG-13 (for some strong language, injury images, and brief nudity)",164,2015,Oct
Son of Saul,14,"12,755",80,Géza Röhrig,Levente Molnár,Urs Rechn,,202,96,Drama,"R (for disturbing violent content, and some graphic nudity)",107,2015,Dec
45 Years,15,"13,527",67,Charlotte Rampling,Tom Courtenay,Geraldine James,"3,489,919",181,97,Drama,R (for language and brief sexuality),95,2015,Dec
Paddington,16,"49,400",80,Hugh Bonneville,Sally Hawkins,Ben Whishaw,"85,879,985",140,98,"Comedy,                        Kids & Family",PG (for mild action and rude humor),96,2015,Jan
Spy,17,"82,252",79,Melissa McCarthy,Jason Statham,Rose Byrne,"89,914,425",221,94,Comedy,"R (for language throughout, violence, and some sexual content including brief graphic nudity)",117,2015,Jun
Timbuktu,18,"9,466",78,Ibrahim Ahmed,Toulou Kiki,Layla Walet Mohamed,"696,436",113,99,"Art House & International,                        Drama",PG-13 (for some violence and thematic elements),97,2015,Jan
Mustang,19,"8,506",88,Günes Sensoy,Ayberk Pekcan,Bahar Kerimoglu,"560,778",134,98,Drama,"PG-13 (for mature thematic material, sexual content and a rude gesture)",97,2015,Nov
